Company Name,Batch,Short Description,Founder Name(s),Founder LinkedIn URL(s)
"GrazeMateSan Francisco, CA, USA",Unknown,Robot Cowboys that Muster Cattle with AI Drones,Startup Jobs; Robot Cowboys,Not found
"RitivelSan Francisco, CA, USA",Unknown,We turn clinical trial data into FDA submission documents in minutes,Startup Jobs; Active Founders,Not found
"SpotPaySan Francisco, CA, USA",Unknown,Cross-border Personal Finance on Stablecoins,Startup Jobs; Personal Finance,Not found
"VeriadSan Francisco, CA, USA",Unknown,AI compliance officers,Startup Jobs; Active Founders,Not found
Coevolved,Unknown,Incredibly Fast Multi-Agent Orchestration and Execution,"Founder @ Coevolved; LinkedIn · Tim Sullivan
3.5K+ followers",https://au.linkedin.com/in/tim-sullivan-coevolve
"Fed10San Francisco, CA, USA",Unknown,AI agents that replace your policy consultants,Startup Jobs; Active Founders,Not found
Squid,Unknown,AI-powered grid planning in your browser 🦑,Startup Jobs; Active Founders,Not found
"Scout OutSan Francisco, CA, USA",Unknown,Find someone to build your building,Startup Jobs; Scout Out,Not found
"CorelayerSan Francisco, CA, USA",Unknown,AI on-call engineer that debugs using data,Startup Jobs; Goldman Sachs,Not found
"ChasiNew York, NY, USA",Unknown,"AI Concierge for Equipment sales, service & rentals",Startup Jobs; Active Founders,Not found
"o11San Francisco, CA, USA",Unknown,The AI Platform for Capital Market Firms,Startup Jobs; Capital Market,Not found
"Sequence MarketsNew York, NY, USA",Unknown,Smarter and faster trade execution for digital assets,I like building cool projects,https://uk.linkedin.com/in/geniusworks
"ArzuleSan Francisco, CA, USA",Unknown,Debugging multi-agent coordination,Startup Jobs; Claude Code,Not found
Bubble Lab,Unknown,"Open-source, Typescript-native agentic workflow builder",Startup Jobs; Bubble Lab,Not found
"PocketSan Francisco, CA, USA",Unknown,The world's best AI note-taking device and app,Startup Jobs; Active Founders,Not found
"Constellation SpaceSeattle, WA, USA",Unknown,The Operating System for Space.,Startup Jobs; Constellation Space,Not found
"AxionOrbital SpaceSan Francisco, CA, USA",Unknown,Foundation models for 24/7 Earth Observation,Startup Jobs; Earth Observation,Not found
"CarettaSan Francisco, CA, USA",Unknown,24/7 Sales Intelligence,"Co-founder & CEO of Caretta (W26); LinkedIn · Paige Kotuby
380+ followers",https://www.linkedin.com/in/paigekotuby; https://www.linkedin.com/in/paigekotuby
"Human ArchiveSan Francisco, CA, USA",Unknown,Multimodal data provider for robotics learning,Startup Jobs; Human Archive,Not found
"Ressl AISan Francisco, CA, USA",Unknown,"AI Agents for ERP / CRM Configuration, starting with Salesforce",Startup Jobs; At Ressl,Not found
"SideKitSan Francisco, CA, USA",Unknown,One package to take your mobile app to production.,Startup Jobs; Active Founders,Not found
"Clice AISan Francisco, CA, USA",Unknown,AI clones of people that can coordinate with each other,Startup Jobs; Active Founders,Not found
"ChamberSan Francisco, CA, USA",Unknown,Autopiloting your AI infrastructure,Startup Jobs; Active Founders,Not found
Patientdesk.ai,Unknown,AI voice agent for patient calls & admin workflows,Cofounder of Patientdesk.ai,https://nl.linkedin.com/in/oncelozgul
"Visibl SemiconductorsSan Francisco, CA, USA",Unknown,The AI IDE for chip design.,Startup Jobs; Visibl Semiconductors,Not found
"Seeing SystemsLondon, England, United Kingdom",Unknown,AI Drone Systems for Defence,Startup Jobs; Seeing Systems,Not found
"CardboardSan Francisco, CA, USA",Unknown,Agentic video editor,Startup Jobs; Active Founders,Not found
"PranaSan Francisco, CA, USA",Unknown,An AI primary care doctor in your pocket,Startup Jobs; The Team,Not found
"Pax HistoriaSan Francisco, CA, USA",Unknown,The first AI-powered grand strategy platform,"Co-founder of Pax Historia; LinkedIn · Eli Bullock-Papa
280+ followers",https://www.linkedin.com/in/elibullockpapa; https://www.linkedin.com/in/elibullockpapa
Laurence,Unknown,Automating performance advertising with quantitative models,Startup Jobs; Active Founders,Not found
"Opalite HealthPalo Alto, CA, USA",Unknown,Solving language barriers in healthcare,Startup Jobs; Opalite Health,Not found
"Q2QSan Francisco, CA, USA",Unknown,We help funds source deals and run personalized outreach with AI,Co-Founder & CEO | UPenn M&T,https://www.linkedin.com/in/danieltian316
Ishiki Labs,Unknown,Building the Future of Multimodal AI,Startup Jobs; Ishiki Labs,Not found
"SparklesSan Francisco, CA, USA",Unknown,Make everyone on your team an engineer,20 | 🇺🇦,"https://www.linkedin.com/in/eugene-cheah-a47791126#:~:text=Eugene%20Cheah%20%2D%20Building%20the%20transformer,featherless%20%2F%20recursal.ai%20%7C%20LinkedIn"
"ArclineSan Francisco, CA, USA",Unknown,AI-native lawyers handling startup legal work in hours,Startup Jobs; Founders Fund,Not found
"RamAInSan Francisco, CA, USA",Unknown,Super fast computer-use agents to automate anything.,Startup Jobs; Active Founders,Not found
OctaPulseRemote,Unknown,Computer vision to automate fish farming from hatchery to harvest,Startup Jobs; United States,Not found
"LuelSan Francisco, CA, USA",Unknown,Turning everyday words and actions into usable training data.,"Co-Founder & COO, Luel | Berkeley Dropout; F6S
https://www.f6s.com › People",https://www.linkedin.com/in/neel-dankar
"SkillsyncSan Francisco, CA, USA",Unknown,Find anyone in open source,Startup Jobs; Active Founders,Not found
AutoSitu,Unknown,AI-native workspace for municipal development review,Startup Jobs; At Autositu,Not found
"VerdexSan Francisco, CA, USA",Unknown,Asset Intelligence for Farmland,"Math + CS @ Dartmouth
Made in Morocco",https://www.linkedin.com/in/mehar-bhasin
Cumulus,Unknown,The Optimized GPU Cloud,Startup Jobs; The Optimized,Not found
"21stSan Francisco, CA, USA",Unknown,Ai programming tools,"co-founder @ 21st.dev; ex deel; LinkedIn · David Yue
5K+ followers",https://www.linkedin.com/in/serafimkorablev; https://www.linkedin.com/in/dyyy
"AvoiceSan Francisco, CA, USA",Unknown,The AI Workspace For Architects,Working on Avoice!,https://www.linkedin.com/in/amit-desai-b225a
"Bujo AISan Francisco, CA, USA",Unknown,AI voice & chat agents for sales and customer support at large B2C…,Startup Jobs; Active Founders,Not found
"BurtSan Francisco, CA, USA",Unknown,Easily fine tune and deploy specialized models,Startup Jobs; Active Founders,Not found
"ProtentSan Francisco, CA, USA",Unknown,AI intelligence for mission-critical operations,Startup Jobs; Active Founders,Not found
"LegalOSSan Francisco, CA, USA",Unknown,The AI-powered immigration law firm for complex work visas,Startup Jobs; Active Founders,Not found
"10x ScienceSan Francisco, CA, USA",Unknown,The AI-native platform for next-generation protein characterization.,Startup Jobs; Stanford University,Not found
"LexiusSan Francisco, CA, USA",Unknown,AI Crime Detection,Startup Jobs; Crime Detection,Not found
"SonarlySan Francisco, CA, USA",Unknown,Production-bug context for AI agents,Startup Jobs; Active Founders,Not found
"RunAnywhereSan Francisco, CA, USA",Unknown,The default way of running On-Device AI at Scale,Startup Jobs; Active Founders,Not found
"KitaSan Francisco, CA, USA",Unknown,Turn documents into signals for lenders,Startup Jobs; Southeast Asian,Not found
"DiditSan Francisco, CA, USA",Unknown,"AI-native, developer-first identity verification platform","CTO - Math, AI and Identity; LinkedIn · Omid Saadati
2.9K+ followers",https://www.linkedin.com/in/ankit-kumar-5a07479a
"TensolSan Francisco, CA, USA",Unknown,AI-native Hospitality Operating System,Startup Jobs; Hospitality Operating,Not found
"PantaSan Francisco, CA, USA",Unknown,Commercial insurance brokerage run by AI agents. Scales like software.,"Hacked on compiler, now hack on people",https://www.linkedin.com/in/jayhack
"HlabsAustin, TX, USA",Unknown,Developer friendly robotics,Startup Jobs; Nvidia Jetson,Not found
"ValgoSan Mateo, CA, USA",Unknown,Algorithmic safety validation tools for autonomy.,Startup Jobs; Lincoln Laboratory,Not found
Sarah AI,Unknown,AI Agents for CPG ops,Startup Jobs; Better Nature,Not found
"Mantis BiotechnologyNew York, NY, USA",Unknown,The Infrastructure Powering Human-In-Computer Models,Startup Jobs; Mantis Biotechnology,Not found
"HaladirSan Francisco, CA, USA",Unknown,Rooting Formal Methods into Codegen RL & Data,Cofounder and CIO of Haladir,https://www.linkedin.com/in/waldiralatriste
JSX Tool,Unknown,AI-First In-Browser IDE for React Development,Startup Jobs; First In,Not found
"Zephyr FusionSan Diego, CA, USA",Unknown,Powering tomorrow's industrial revolution in space,Startup Jobs; Zephyr Fusion,Not found
"MayflowerSan Francisco, CA, USA",Unknown,AI plug-in that automates HR immigration screening and compliance,Startup Jobs; Active Founders,Not found
"itemSan Francisco, CA, USA",Unknown,The AI-Native CRM that works for you,"Building what comes after the CRM; LinkedIn · Genya Tukbaeva
1.1K+ followers",https://cy.linkedin.com/in/evgeniyatukbaeva
"RivetSan Francisco, CA, USA",Unknown,Visual editor to design in production code,Startup Jobs; Active Founders,Not found
"OpenrollStockholm, Stockholm County, Sweden",Unknown,AI-Native Workday,Startup Jobs; Native Workday,Not found
Fixpoint,Unknown,Uber for AI trainers and human-in-the-loop supervisors,"CMU grad in comp sci and ML
2x YC founder",https://www.linkedin.com/in/tianwei-yue
"BearSan Francisco, CA, USA",Unknown,Marketing Stack for AI Agents,Startup Jobs; Marketing Stack,Not found
"MossSan Mateo, CA, USA",Unknown,Real-time semantic search for Conversational AI,Startup Jobs; Active Founders,Not found
"ZarnaSan Francisco, CA, USA",Unknown,AI Associates for Private Capital,"CEO/Co-Founder @ Zarna AI; LinkedIn · Rishabh Dhariwal
3.4K+ followers",https://www.linkedin.com/in/rishabh-dhariwal
"MarkItSan Francisco, CA, USA",Unknown,AI Agents for Trade Compliance - Saving Companies from Tariffs,"Michelin, Porsche, Tesla, Lucid",https://www.linkedin.com/in/evan-muncheryan
"DomeNew York, NY, USA",Unknown,"A unified API for prediction markets, like Kalshi and Polymarket",Startup Jobs; Active Founders,Not found
"VoltairSan Francisco, CA, USA",Unknown,Self Charging Drones,Startup Jobs; Self Charging,Not found
Clicks,Unknown,Computer use agents to automate all back-office work,Startup Jobs; What We,Not found
Fastshot,Unknown,Lovable for mobile apps,Startup Jobs; App Stores,Not found
"ShoptiquesNew York, NY, USA",Unknown,Shoptiques.com lets you shop the world's best local boutiques online.,Long term hacker. Currently CTO of Agronomeye,Not found
"ClaybirdSan Francisco, CA, USA",Unknown,The full-stack AI ad company,Startup Jobs; Eight Sleep,Not found
"LunaBillSan Francisco, CA, USA",Unknown,AI Voice callers for healthcare billing teams,Startup Jobs; Experian Health,Not found
Axial Composites Industries,Unknown,Carbon Fiber Manufacturing at the Speed of Software,Startup Jobs; Axial Composites,Not found
"VelvetSan Francisco, CA, USA",Unknown,Data for world models,Startup Jobs; Active Founders,Not found
"DiligenceSquaredSan Francisco, CA, USA",Unknown,AI-powered market due diligence for investment decisions,Startup Jobs; When Private,Not found
Amera,Unknown,Automating claims processing workflows for health insurance payers.,Startup Jobs; Active Founders,Not found
"Forge RoboticsSan Francisco, CA, USA",Unknown,A robotics intelligence system for metal fabrication,Startup Jobs; Forge Robotics,Not found
"Stratus AviationSan Francisco, CA, USA",Unknown,AI-powered intelligence layer for airports,Startup Jobs; Stratus Aviation,Not found
"BlumaSan Francisco, CA, USA",Unknown,The new media distribution company,Startup Jobs; Active Founders,Not found
"LightberrySan Francisco, CA, USA",Unknown,The social brain for robots.,Founder @Lightberry (F25) 💛,Not found
The Hog,Unknown,AI Demand Gen for Companies,Startup Jobs; The Hog,Not found
Telemetron,Unknown,Support and Operations Platform for Hardware Companies,Startup Jobs; Operations Platform,Not found
"Boom AISan Francisco, CA, USA",Unknown,AI growth team for e-commerce brands,Startup Jobs; Active Founders,Not found
"Freeport MarketsNew York, NY, USA",Unknown,DeFi Brokerage for Real Assets,Startup Jobs; Freeport Markets,Not found
"MiniswapSan Francisco, CA, USA",Unknown,The Marketplace for Complex Hobbies,Startup Jobs; The Marketplace,Not found
"Rovi HealthSan Francisco, CA, USA",Unknown,AI healthcare concierge for employees,Startup Jobs; Rovi Health,Not found
Castari,Unknown,Vercel for AI Agents – Deploy sandboxed agents with MCP tools & skills,Startup Jobs; Active Founders,Not found
"JarminSan Francisco, CA, USA",Unknown,24/7 Machine Learning Engineer employees,Startup Jobs; Machine Learning,Not found
"ExonicSan Francisco, CA, USA",Unknown,Crowdsourcing drug discovery.,Startup Jobs; Ginkgo Bioworks,Not found
"LemmaSan Francisco, CA, USA",Unknown,Continuous learning for AI agents,Startup Jobs; Active Founders,Not found
Mantle,Unknown,Build internal agents to automate back office work with one prompt,"Founder @ Mantle (YC F25); LinkedIn · Gautam Paranjape
2K+ followers",https://www.linkedin.com/in/gparanjape; https://www.linkedin.com/in/gparanjape
Karumi,Unknown,The Waymo of Personalized demos,Startup Jobs; The Waymo,Not found
"IcarusLos Angeles, CA, USA",Unknown,Stratospheric birds for defense,Startup Jobs; Active Founders,Not found
Sava,Unknown,Building the future of trusts,Startup Jobs; Active Founders,Not found
Waffer,Unknown,Lovable for Animated Graphics Videos,Startup Jobs; Animated Graphics,Not found
"DenkiSan Francisco, CA, USA",Unknown,The full-stack AI financial audit firm,Startup Jobs; Automates Control,Not found
"ArctenSan Francisco, CA, USA",Unknown,We make any product AI-native in an afternoon,Startup Jobs; Active Founders,Not found
MetorialRemote,Unknown,The infra layer for AI integrations.,Startup Jobs; Active Founders,Not found
Kalpa Labs,Unknown,Scaling Generalist Speech models,Startup Jobs; Kalpa Labs,Not found
Absurd,Unknown,AI Brand and Performance Ads at Scale,Absurd | prev. Meta,https://www.linkedin.com/in/damian-chng
"Clad LabsSan Francisco, CA, USA",Unknown,the brainrot ide,Building Chad IDE | Ex-Meta | UIUC Alum,Not found
"Automax.aiSan Francisco, CA, USA",Unknown,AI native real-estate appraisal firm,Startup Jobs; Fannie Mae,Not found
"SpecificStockholm, Stockholm County, Sweden",Unknown,Build and deploy production-ready backends without code,Former tech lead at Stripe,https://www.linkedin.com/in/ysarath
"PrimerSan Francisco, CA, USA",Unknown,AI Product Demos,Building stuff,https://www.linkedin.com/in/delk
"NarrativeSan Francisco, CA, USA",Unknown,AI-Powered Sports Highlights,"Building the future of sports content; LinkedIn · Erik Vank
3.1K+ followers",https://www.linkedin.com/in/erik-vank
Crunched,Unknown,Excel AI analyst for Power Users,Startup Jobs; Power Users,Not found
Lua Global Inc,Unknown,The mid-market agent platform,Startup Jobs; Lua Global,Not found
"Spatial AIPalo Alto, CA, USA",Unknown,Data for robot foundational models,Building General Purpose Robots,Not found
"SourcebotSan Francisco, CA, USA",Unknown,Helping humans and AI agents understand massive codebases,Startup Jobs; Red Hat,Not found
"ZalosSan Francisco, CA, USA",Unknown,"Computer Agents for Finance tasks like reconciliation, in your system!",Startup Jobs; Computer Agents,Not found
"HireGlideSan Francisco, CA, USA",Unknown,The AI-native job board,Startup Jobs; Active Founders,Not found
"AsideSan Francisco, CA, USA",Unknown,Live answer copilot for enterprise tech sales,Startup Jobs; Live Cards,Not found
"Scott AINew York, NY, USA",Unknown,Agentic Workspace for Engineering Team Alignment,Active Founders,https://www.linkedin.com/in/maxwell-scott-63428643
"EverestSan Francisco, CA, USA",Unknown,AI employees for outsourced IT,Startup Jobs; Senior Support,Not found
"Expected ParrotCambridge, MA, USA",Unknown,Simulate your customers with AI agents,Startup Jobs; Expected Parrot,Not found
"Imagine AISan Francisco, CA, USA",Unknown,Your AI Clone for B2B Content,Startup Jobs; Sky Yang,Not found
"Anto BiosciencesSan Francisco, CA, USA",Unknown,A Foundation Model for Microbial Communities.,Startup Jobs; Anto Biosciences,Not found
"Patent WatchToronto, ON, Canada",Unknown,AI for detecting patent infringements,Founder @Patent Watch | Ex Research @ Philips,https://ca.linkedin.com/in/alex-stroe
"s2.devSan Francisco, CA, USA",Unknown,"API for unlimited, durable, real-time streams",Startup Jobs; Active Founders,Not found
Tornyol,Unknown,We build micro-drones that kill mosquitoes.,Startup Jobs; West Nile,Not found
"NucleoSan Francisco, CA, USA",Unknown,The first Agentic platform for Oncology,Startup Jobs; Stanford Hospital,Not found
"LeadbaySan Francisco, CA, USA",Unknown,Discover and qualify SMB leads that couldn't be found before.,Startup Jobs; Milan Stankovic,Not found
"Pixley AISan Francisco, CA, USA",Unknown,The first platform where parents & kids can co-create AI cartoon shows,Startup Jobs; Active Founders,Not found
"Cortex AISan Francisco, CA, USA",Unknown,Large-scale real-world robot & human data for embodied AI,Startup Jobs; Egocentric Data,Not found
"InspectorSan Francisco, CA, USA",Unknown,AI IDE for front-end development,"GT CS dropout. Prev @ Oracle, CMU HCII.",https://www.linkedin.com/in/jayshah1210
"ThesisSan Francisco, CA, USA",Unknown,The AI discovery engine.,Startup Jobs; Active Founders,Not found
"OxusSan Francisco, CA, USA",Unknown,AI-powered automation for internal audit workflows,Startup Jobs; With Oxus,Not found
"Play HealthBoulder, CO, USA",Unknown,Perimenopause Care Platform,Startup Jobs; Play Health,Not found
"CaseySan Francisco, CA, USA",Unknown,Casey automates workflows for the insurance industry,Startup Jobs; Active Founders,Not found
"SelfinSan Francisco, CA, USA",Unknown,Building the first AI Bank,Startup Jobs; Active Founders,Not found
"CompyleSan Francisco, CA, USA",Unknown,The coding agent that actually collaborates with you,Startup Jobs; Claude Code,Not found
"LexiSan Francisco, CA, USA",Unknown,AI Associates for Corporate Law,Startup Jobs; Corporate Law,Not found
Codyco,Unknown,The AI Reservation Team for Hotel Groups,Active Founders,https://www.linkedin.com/in/robin-ross-activateinsight
ComplyDo,Unknown,Global Compliance for Enterprises,"Building ComplyDo; LinkedIn · Leo Schuhmann
2.1K+ followers",https://www.linkedin.com/in/leo-schuhmann
"BraviSan Francisco, CA, USA",Unknown,The AI operating system powering home services businesses,Startup Jobs; Active Founders,Not found
"RovrSan Francisco, CA, USA",Unknown,AI FDE Engine that runs your engineering workflows,Startup Jobs; Active Founders,Not found
Sunflower,Unknown,Building the Sobriety Platform for the future of Superintelligence. 🌻,Startup Jobs; Sobriety Platform,Not found
"CaptainSan Francisco, CA, USA",Unknown,The High Accuracy RAG API,CEO @ Captain | The High Accuracy RAG API,https://www.linkedin.com/in/bradtaylorsf
"RedaptoSan Francisco, CA, USA",Unknown,Self-improving systems for Customer Support Teams,Active Founders,https://www.linkedin.com/in/robertnathansonsf
"ArticulateSan Francisco, CA, USA",Unknown,Automatic Construction Drawing Clash Detection,Startup Jobs; Automatic Construction,Not found
"Aleph LabSan Francisco, CA, USA",Unknown,AI language buddy in the games kids love,Startup Jobs; Aleph Lab,Not found
"LogicalSan Francisco, CA, USA",Unknown,"A proactive desktop copilot. Clippy, but actually good.",Startup Jobs; Active Founders,Not found
"Agentic FabriqSunnyvale, CA, USA",Unknown,Okta for Agents.,Startup Jobs; Agentic Fabriq,Not found
"TravoSan Francisco, CA, USA",Unknown,We use AI to collect and analyze real estate data,Startup Jobs; Active Founders,Not found
"TensrSan Francisco, CA, USA",Unknown,Fully autonomous robotic factories,"Robotics, ML and Controls @ UC Berkeley",https://www.linkedin.com/in/nakul-jayakar
"Kestrel AISan Francisco, CA, USA",Unknown,AI-Native Cloud Incident Response Platform,"CTO @ Kestrel AI. Like to build things.; LinkedIn · Andrey Akselrod
3.5K+ followers",https://www.linkedin.com/in/ramanvarma
"SanctumSan Francisco, CA, USA",Unknown,Catch software issues with user simulations,"Cofounder @ Sanctum. Prev @ DRW, IMC, Stanford; LinkedIn · Stanford Founders
1.2K+ followers",https://www.linkedin.com/in/bjorncooley
"LogosGuardSan Francisco, CA, USA",Unknown,The risk management software for enterprises adopting AI,Cofounder at Logos Guard,https://www.linkedin.com/in/domingoguerra
"SciloopSan Francisco, CA, USA",Unknown,AI Co-Scientist that automates ML experimentation and analysis.,Startup Jobs; International Physics,Not found
"MultifactorSan Francisco, CA, USA",Unknown,"Zero-trust authentication, authorization, and auditing for AI agents",Startup Jobs; Active Founders,Not found
"Allus AIAtlanta, GA, USA",Unknown,Transforming manufacturing with our next-gen Vision Foundation Model,"Co-Founder @ Allus AI Inc. | MS CS @ GaTech; LinkedIn · Zhisen An
540+ followers",https://www.linkedin.com/in/zhisenan; https://www.linkedin.com/in/zhisenan
"Unsiloed AISan Francisco, CA, USA",Unknown,API for parsing multimodal unstructured data,Startup Jobs; Active Founders,Not found
SF Tensor,Unknown,Infrastructure for AI labs to focus on research.,Optimizing GPU Kernels @ SF Tensor.,Not found
AnswerThis,Unknown,End-to-end workspace to accelerate scientific discovery,Startup Jobs; Active Founders,Not found
"NivaraSan Francisco, CA, USA",Unknown,The intelligence layer for how your teams use AI,Startup Jobs; Engineering Managers,Not found
"LakoniaSan Francisco, CA, USA",Unknown,Delivering AI-powered situational awareness in tactical environments.,"Stanford EE CS, Ex-Saronic SWE Intern, 8VC Fellow",https://www.linkedin.com/in/bukovec
"SellRazeSan Francisco, CA, USA",Unknown,The fastest way to sell online.,Startup Jobs; Active Founders,Not found
Mod AI,Unknown,Our AI Agents Replace Accounting Clerks,Startup Jobs; Agents Replace,Not found
"Semble AISan Francisco, CA, USA",Unknown,Autonomous building-system design for construction companies.,Startup Jobs; Active Founders,Not found
Flick,Unknown,"Figma + Cursor, for AI Filmmaking",Startup Jobs; Active Founders,Not found
"AtlasGridMountain View, CA, USA",Unknown,Accelerate Product Iteration,Startup Jobs; Accelerate Product,Not found
Wardstone,Unknown,Satellites for Missile Defense,Startup Jobs; Missile Defense,Not found
"NessieSan Francisco, CA, USA",Unknown,Shareable AI Brains for Everyone,Startup Jobs; Apple Notes,Not found
Hypercubic,Unknown,AI to maintain and modernize COBOL.,Startup Jobs; Active Founders,Not found
"Cranston AISan Francisco, CA, USA",Unknown,Full Stack AI Accounting Firm,Startup Jobs; Full Stack,Not found
"QuestomSan Francisco, CA, USA",Unknown,AI Agents for B2B Inbound Sales,AI Agents for B2B Inbound Sales,Not found
"Velum LabsSan Francisco, CA, USA",Unknown,Firewall that controls access to information across AI and humans,Startup Jobs; Velum Labs,Not found
"Veria LabsSan Francisco, CA, USA",Unknown,Continuous AI pentesting that finds and fixes vulnerabilities,Startup Jobs; Veria Labs,Not found
"IrisSan Francisco, CA, USA",Unknown,The Digital Extension of Yourself,Co-founder @ Iris YC F25,https://www.linkedin.com/in/samika-sanghvi
"PlayVisionSan Francisco, CA, USA",Unknown,AI Moneyball for Sports,Startup Jobs; Active Founders,Not found
"KoyalSan Francisco, CA, USA",Unknown,Agentic AI Filmmaking Platform,Startup Jobs; Filmmaking Platform,Not found
"Kaigo HealthSan Francisco, CA, USA",Unknown,AI outpatient care workforce,Startup Jobs; Kaigo Health,Not found
"NorraSan Francisco, CA, USA",Unknown,Automating equipment operations for nursing facilities,Startup Jobs; Active Founders,Not found
"SorenSan Francisco, CA, USA",Unknown,AI agents for evaluating and debugging AI systems.,Startup Jobs; Active Founders,Not found
"LunavoSan Francisco, CA, USA",Unknown,Lunavo is the AI assistant for carriers.,Startup Jobs; Active Founders,Not found
"DariSan Francisco, CA, USA",Unknown,An API to build the most reliable browser use agents,Building Dari,https://ca.linkedin.com/in/sohail-rashid-91973b104
"The Context CompanySan Francisco, CA, USA",Unknown,Semantic observability for AI agents to help teams fix failures fast,Startup Jobs; The Context,Not found
"SorceSan Francisco, CA, USA",Unknown,Tinder for jobs,"working on sorce; prev. tesla, dell",Not found
Caddy,Unknown,The voice interface that works proactively for you,Startup Jobs; Active Founders,Not found
"Alt-XSan Francisco, CA, USA",Unknown,AI Diligence Tools for Private Investors,Startup Jobs; Diligence Tools,Not found
Locus,Unknown,Payment infrastructure for AI agents,I like moving money.,Not found
"DeeptraceSan Francisco, CA, USA",Unknown,AI agents for on-call,Startup Jobs; At Deeptrace,Not found
Aspect,Unknown,AI Visual Understanding for Multimodal Data,Startup Jobs; Visual Understanding,Not found
"ScoopSan Francisco, CA, USA",Unknown,Automating regulatory submissions for life sciences,Startup Jobs; Active Founders,Not found
"HyperspellSan Francisco, CA, USA",Unknown,Memory for AI Agents,"4x Founder, 2 exits, 15 years in AI & ML",Not found
"Bolna AIBengaluru, KA, India",Unknown,Voice AI to enable India's next billion,Startup Jobs; With Bolna,Not found
"NexusBrussels, Brussels, Belgium",Unknown,We help non-technical teams build AI agents without engineers,"Co-founder (CTO) of NexusGPT; LinkedIn · Andrei I. Cursaru
5.7K+ followers",https://www.linkedin.com/in/shady-al-shoha
"SylvianSan Francisco, CA, USA",Unknown,Specialized AI Agents.,Startup Jobs; Active Founders,Not found
